Barcode,Name, RSP ,Price
8051070227905,ASTRA EXPERT EYEBROW PENCIL 05 - 1.1G: 227905, 28.00 , 22.40 
8051070227325,ASTRA 24H EYE COLOR-STAIN PENCIL 1.2G: 227325, 32.00 , 25.60 
8057018245727,ASTRA LONG STAY CONCEALER 02 - 4.5ML: 245727, 47.00 , 37.60 
8051070228124,ASTRA COMPACT FOUNDATION 04 - 7G: 228124, 62.00 , 49.60 
8051070225574,ASTRA LASTING GEL EFFECT 11 NAIL POLISH -12ML: 225574, 26.00 , 20.80 
8057018243754,ASTRA LASTING GEL EFFECT 43 NAIL POLISH-12ML: 243754, 26.00 , 20.80 
8055510080389,ASTRA SUBLIMINAL 16H PRO-LINER :080389, 42.00 , 33.60 
8055510080921,ASTRA PURE BEAUTY EYES PALETTE :080921, 84.00 , 67.20 
8055510080938,ASTRA PURE BEAUTY MOSAIC FACE POWDER :080938, 65.00 , 52.00 
7332152204702,ATTENDS SOFT 4 SUPER 12 X 8 - 34167, 42.00 , 33.60 
7332152207383,ATTENDS PULL ON 8 MEDIUM 4X 16 - 33461, 110.00 , 88.00 
7332152207451,ATTENDS PULL ON 8 LARGE 4 X 16 - 34750/33646, 120.00 , 96.00 
7332152207253,ATTENDS SOFT 3 EXTRA 12'S - 34164, 39.00 , 31.20 
7332152204344,ATTENDS PULL ON PLUS 8 XLARGE 4x14 - 35195, 129.00 , 103.20 
7332152204023,ATTENDS COVER DRI 80X170 PLUS - 31691, 139.00 , 111.20 
7332152202876,ATTENDS CARE WETWIPES 12X80 - 34277, 30.00 , 24.00 
7332152203965,ATTENDS COVER DRI 60X90 PLUS 4X50 - 31689, 149.00 , 119.20 
7332152204665,ATTENDS SOFT 3 EXTRA PLUS 12 X 10 - 34165, 40.00 , 32.00 
7332152204566,ATTENDS SOFT 1 MINI LONG 16'S - 33837/34162, 42.00 , 33.60 
7332152207239,ATTENDS SOFT 2 NORMAL 8 X 12 - 34163, 45.00 , 36.00 
7332152203330,ATTENDS SLIP REGULAR 9 LARGE 4X28 - 33601, 159.00 , 127.20 
7332152203903,ATTENDS COVER DRI 40X60 PLUS 6X50 - 31687, 68.00 , 54.40 
7332152207321,ATTENDS PULL ON 8 SMALL 4X16 - 33459, 95.00 , 76.00 
7332152205969,ATTENDS FOR MEN SHIELD 4 - 32207, 58.00 , 46.40 
7332152202890,ATTENDS SKIN CLEANSING GLOVE 20X50 - 35191, 38.00 , 30.40 
7332152203927,ATTENDS COVER DRI 60X60 PLUS 4X50 - 31688, 99.00 , 79.20 
7332152201381,ATTENDS SLIP ACTIVE 9 LARGE 4X28 - 31271, 149.00 , 119.20 
7332152203316,ATTENDS SLIP REGULAR 9 MEDIUM 4X28 - 33598, 139.00 , 111.20 
7332152202791,ATTENDS PROFESSIONAL CARE CLEANSING FOAM 12X400ML - 34825, 42.00 , 33.60 
7332152203705,ATTENDS SLIP REGULAR 8 LARGE 4x28 : 33600, 149.00 , 119.20 
7332152204108,ATTENDS CARE DRY CLEANSING WIPES 4X150 - 31662, 89.00 , 71.20 
7332152204788,ATTENDS SOFT 6 (4X38)30998, 219.00 , 175.20 
7332152207772,ATTENDS SLIP REGULAR 9 SMALL 4X21 - 34120, 112.00 , 89.60 
7332152201329,ATTENDS SLIP ACTIVE 8 LARGE 8 - 31270, 139.00 , 111.20 
7332152201503,ATTENDS SLIP ACTIVE 9 MEDIUM 4X28 - 31268, 129.00 , 103.20 
7332152203682,ATTENDS SLIP REGULAR 8 MEDIUM 4x28 : 33597, 135.00 , 108.00 
7393958410032,ATTENDS FOR MEN SHIELD 1 25X4 - 32253, 69.00 , 55.20 
7393958246471,ATTENDS STRETCH PANTS LG 12x15�S - 31896, 94.00 , 75.20 
7332152203071,ATTENDS STRETCH PANTS XXL 10x15'S - 31898, 99.00 , 79.20 
51381885335,AURA CACIA COMFORTING GERANIUM BODY OIL 118ML: 88533, 49.00 , 39.20 
51381886189,AURA CACIA RELAXING LAVENDER BODY OIL 118ML: 88618, 49.00 , 39.20 
51381886028,AURA CACIA RELAXING SWEET ORANGE BODY OIL 118ML: 88602, 49.00 , 39.20 
51381885779,AURA CACIA INVIGORATING GINGER & MINT FOAM BATH 70.9G: 88577, 22.00 , 17.60 
51381885786,AURA CACIA PEACEFUL PATCHOULI&SWT ORNGE FOAMBATH 70.9G:88578, 22.00 , 17.60 
51381885793,AURA CACIA RELAXING LAVENDER FOAM BATH 70.9 G: 88579, 22.00 , 17.60 
51381885762,AURA CACIA SENSUAL CINNAMON&YLANG YLANG FOAMBATH 70.9G:88576, 22.00 , 17.60 
51381885960,AURA CACIA CALMING FOAM BATH 70.9 G: 88596, 22.00 , 17.60 
51381885175,AURA CACIA COMFORTING GERANIUM MINERAL BATH 70.9 G: 88517, 22.00 , 17.60 
51381916961,AURA CACIA MEDITATING CEDARWOOD MINERAL BATH 70.9 G: 91696, 22.00 , 17.60 
51381885076,AURA CACIA REFRESHING PEPPERMINT MINERAL BATH  70.9 G: 88507, 22.00 , 17.60 
51381886165,AURA CACIA RELAXING LAVENDER MINERAL BATH 70.9 G: 88616, 22.00 , 17.60 
51381885199,AURA CACIA TRANQUIL CHAMOMILE MINERAL BATH  70.9 G: 88519, 22.00 , 17.60 
51381886363,AURA CACIA RELAXING LAVENDER MIST 118ML: 88636, 53.00 , 42.40 
51381921149,AURA CACIA CHILL PILL ROLL-ON 9.2ML: 92114, 49.00 , 39.20 
51381911072,AURA CACIA WHITE CAMPHOR ESSENTIAL OIL 15ML: 91107, 36.00 , 28.80 
51381911119,AURA CACIA CINNAMON LEAF ESSENTIAL OIL 15ML: 91111, 50.00 , 40.00 
51381911164,AURA CACIA EUCALYPTUS ESSENTIAL OIL 15ML: 91116, 40.00 , 32.00 
51381911195,AURA CACIA FRANKINCENSE ESSENTIAL OIL 15ML: 91119, 172.00 , 137.60 
51381911232,AURA CACIA LAVENDER ESSENTIAL OIL 15ML: 91123, 76.00 , 60.80 
51381912895,AURA CACIA LAVENDER SPIKE ESSENTIAL OIL 15ML: 91289, 59.00 , 47.20 
51381912857,AURA CACIA LEMON EUCALYPTUS ESSENTIAL OIL 15ML: 91285, 34.00 , 27.20 
51381911386,AURA CACIA TANGERINE ESSENTIAL OIL 15ML: 91138, 25.00 , 20.00 
51381911393,AURA CACIA TEA TREE ESSENTIAL OIL 15ML: 91139, 52.00 , 41.60 
51381911713,AURA CACIA GRAPESEED SKIN CARE OIL 118ML : 91171, 30.00 , 24.00 
654749354308,AVL LAVENDER LIQDSOAP 12OZ:35430, 30.00 , 24.00 
654749354407,AVL ROSEMARY LIQ SOAP 12OZ:35440, 30.00 , 24.00 
654749354353,AVL LEMON LIQ SOAP 12OZ:35435, 30.00 , 24.00 
654749351178,AVL TEA TREE SCALP TREATMENT SHAMPOO:35117, 39.00 , 31.20 
654749351000,AVL LAVENDER SHAMPOO - NOURISHING 11 OZ:35100, 39.00 , 31.20 
654749351109,AVL ROSEMARY SHAMPOO-VOLUMIZING 11OZ:35110, 39.00 , 31.20 
654749351055,AVL LEMON VERBENA CLARIFYING SHAMPOO 11OZ:35105, 39.00 , 31.20 
654749351086,AVL STRENGTHENING PEPPERMINT SHAMPOO 11OZ : 35108, 39.00 , 31.20 
654749351505,AVL LAVENDER  NOURISHING CONDITIONER 11 OZ:35150, 39.00 , 31.20 
654749351673,AVL TEA TREE SCALP TREATMENT CONDITIONER:35167, 39.00 , 31.20 
654749351550,AVL LEMON VERBENA CONDITIONER -CLARIFYING 11 OZ:35155, 39.00 , 31.20 
654749351604,AVL ROSEMARY CONDITIONER - VOLUMIZING 11 OZ:35160, 39.00 , 31.20 
654749351802,AVL LAVENDER BATH & SHOWER GEL 12 OZ:35180, 44.00 , 35.20 
654749361221,AVL BIOTIN B-COMPLEX CONDITIONER 14OZ:36122, 49.00 , 39.20 
654749361252,AVL TEA TREE MINT  CONDITIONER 14OZ:36125, 49.00 , 39.20 
654749361023,AVL BIOTIN B-COMPX THICKENING SHAMPOO 14 OZ:36102, 55.00 , 44.00 
654749361054,AVL TEA TREE MINT SHAMPOO14 OZ:36105, 55.00 , 44.00 
654749352007,AVL LAVENDER LOTION 12 OZ:35200, 44.00 , 35.20 
654749352052,AVL LEMON VERBENA LOTION 12 OZ:35205, 44.00 , 35.20 
654749352083,AVL MINT THYME THERAPEUTIC LOTION 12 OZ:35208, 44.00 , 35.20 
654749351369,AVL SMOOTH SHINE APPLE CIDER VINEGAR CONDITIONER 11 OZ, 39.00 , 31.20 
5060139432283,BEAR PAWS APPLE & BLACKCURRANT 20G X 18  : 431316/432283, 102.60 , 82.08 
5060139431521,BEAR PAWS RASPBERRY & BLUEBERRY 20G X 5 : 431521, 26.00 , 20.80 
5060139431231,BEAR PAWS STRAWBERRY & APPLE 20G X 5 : 431231, 26.00 , 20.80 
